Chn,Identifier,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,000001A1,8,F7,B6,0,0,0,0,0,0,4.30242,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.30268,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,4.30285,R
0,199,8,0,0,0,0,0,0,0,FF,4.30311,R
0,000001C3,8,0,0,0,0,0,0,0,0,4.30336,R
0,1E5,8,3,0,0,0,0,0,0,0,4.30362,R
0,121,4,2,0,0,0,,,,,4.30464,R
0,1E9,8,5,0,0,0,0,0,0,0,4.3049,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.30976,R
0,000000C9,8,34,C5,EF,0,0,0,0,0,4.31002,R
0,191,8,0,0,0,0,0,0,0,0,4.31028,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.3119,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.31215,R
0,1E5,8,3,0,0,0,0,0,0,0,4.31241,R
0,199,8,0,0,0,0,0,0,0,FF,4.31531,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.31557,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.31693,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.31975,R
0,000000C9,8,43,C5,EF,0,0,0,0,0,4.32,R
0,191,8,0,0,0,0,0,0,0,0,4.32026,R
0,10,8,0,0,0,0,0,0,0,0,4.32052,R
0,000002C3,8,75,C5,EF,0,0,0,0,0,4.32077,R
0,184,8,4,0,0,0,0,0,0,0,4.32103,R
0,000003F9,8,D3,C6,EF,0,0,0,0,0,4.3212,R
0,334,8,6,0,0,0,0,0,0,0,4.32145,R
0,000003FB,8,6F,C6,EF,0,0,0,0,0,4.32171,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.32197,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.32222,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.32248,R
0,1E5,8,3,0,0,0,0,0,0,0,4.32273,R
0,000001F3,8,0,0,0,0,0,0,0,0,4.32299,R
0,1E9,8,5,0,0,0,0,0,0,0,4.32487,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,4.32555,R
0,000001C3,8,0,0,0,0,0,0,0,0,4.32581,R
0,199,8,0,0,0,0,0,0,0,FF,4.32785,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.32811,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,4.32837,R
0,000001F5,8,0,0,0,0,0,FF,0,0,4.32862,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.32973,R
0,000000C9,8,83,C6,EF,0,0,0,0,0,4.32999,R
0,121,4,2,0,0,0,,,,,4.33016,R
0,0000012A,8,0,0,0,0,0,0,0,0,4.33041,R
0,130,4,CB,3D,0,0,,,,,4.33058,R
0,134,8,0,0,0,0,0,0,0,0,4.33084,R
0,191,8,0,0,0,0,0,0,0,0,4.3311,R
0,000001F1,8,0,0,0,0,0,0,0,0,4.33135,R
0,000003C9,8,0,0,0,0,0,0,0,0,4.33161,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.33186,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.33212,R
0,1E5,8,3,0,0,0,0,0,0,0,4.33238,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.3369,R
0,0000017D,8,0C,0,0,0,0,0,0,0,4.33886,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.33972,R
0,000000C9,8,92,C6,EF,0,0,0,0,0,4.33997,R
0,191,8,0,0,0,0,0,0,0,0,4.34023,R
0,199,8,0,0,0,0,0,0,0,FF,4.34091,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.34117,R
0,0000017F,8,0D,0,0,0,0,0,0,0,4.34142,R
0,184,8,4,0,0,0,0,0,0,0,4.34168,R
0,000002F9,8,9,0,0,0,0,0,0,0,4.34193,R
0,334,8,6,0,0,0,0,0,0,0,4.3421,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.34236,R
0,0000034A,8,0B,0,0,0,0,0,0,0,4.34262,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.34287,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.34313,R
0,1E5,8,3,0,0,0,0,0,0,0,4.34338,R
0,1E9,8,5,0,0,0,0,0,0,0,4.34492,R
0,348,8,0A,0,0,0,0,0,0,0,4.34688,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.34978,R
0,000000C9,8,A1,C6,EF,0,0,0,0,0,4.34996,R
0,191,8,0,0,0,0,0,0,0,0,4.35021,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,4.35047,R
0,000001C3,8,0,0,0,0,0,0,0,0,4.35072,R
0,10,8,0,0,0,0,0,0,0,0,4.35098,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.35192,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.35217,R
0,1E5,8,3,0,0,0,0,0,0,0,4.35243,R
0,199,8,0,0,0,0,0,0,0,FF,4.35354,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.3538,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,4.35397,R
0,000001F5,8,0,0,0,0,0,FF,0,0,4.35422,R
0,121,4,2,0,0,0,,,,,4.35465,R
0,000001F3,8,0,0,0,0,0,0,0,0,4.35576,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.35687,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.35977,R
0,000000C9,8,B5,C6,EF,0,0,0,0,0,4.36002,R
0,191,8,0,0,0,0,0,0,0,0,4.36028,R
0,184,8,4,0,0,0,0,0,0,0,4.36088,R
0,334,8,6,0,0,0,0,0,0,0,4.36113,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.36139,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.3619,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.36216,R
0,1E5,8,3,0,0,0,0,0,0,0,4.36241,R
0,1E9,8,5,0,0,0,0,0,0,0,4.36489,R
0,199,8,0,0,0,0,0,0,0,FF,4.36651,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.36677,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.36975,R
0,000000C9,8,C4,C6,EF,0,0,0,0,0,4.37001,R
0,191,8,0,0,0,0,0,0,0,0,4.37026,R
0,000002C3,8,F6,C6,EF,0,0,0,0,0,4.37052,R
0,000003C1,8,5A,C7,EF,0,0,0,0,0,4.37069,R
0,000003D1,8,22,C8,EF,0,0,0,0,0,4.37095,R
0,3E9,8,BE,C7,EF,0,0,0,0,0,4.3712,R
0,000003F1,8,0,0,0,0,0,0,0,0,4.37172,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.37197,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,4.37223,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.37248,R
0,000001C3,8,0,0,0,0,0,0,0,0,4.37274,R
0,1E5,8,3,0,0,0,0,0,0,0,4.373,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.37692,R
0,199,8,0,0,0,0,0,0,0,FF,4.37914,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.3794,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,4.37957,R
0,000000C9,8,6E,C7,EF,0,0,0,0,0,4.37982,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.38008,R
0,121,4,2,0,0,0,,,,,4.38025,R
0,130,4,CB,3D,0,0,,,,,4.38042,R
0,191,8,0,0,0,0,0,0,0,0,4.38068,R
0,184,8,4,0,0,0,0,0,0,0,4.38093,R
0,10,8,0,0,0,0,0,0,0,0,4.38119,R
0,000001F5,8,0,0,0,0,0,FF,0,0,4.38144,R
0,334,8,6,0,0,0,0,0,0,0,4.3817,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.38196,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.38221,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.38238,R
0,1E5,8,3,0,0,0,0,0,0,0,4.38264,R
0,1E9,8,5,0,0,0,0,0,0,0,4.38486,R
0,000001F3,8,0,0,0,0,0,0,0,0,4.38878,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.38972,R
0,000000C9,8,7D,C7,EF,0,0,0,0,0,4.38998,R
0,191,8,0,0,0,0,0,0,0,0,4.39023,R
0,000002F9,8,9,0,0,0,0,0,0,0,4.39092,R
0,0000034A,8,0B,0,0,0,0,0,0,0,4.39117,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.39185,R
0,199,8,0,0,0,0,0,0,0,FF,4.39211,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.39237,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.39262,R
0,1E5,8,3,0,0,0,0,0,0,0,4.39288,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,4.39552,R
0,000001C3,8,0,0,0,0,0,0,0,0,4.39578,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.39689,R
0,348,8,0A,0,0,0,0,0,0,0,4.39714,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.39979,R
0,000000C9,8,91,C7,EF,0,0,0,0,0,4.39996,R
0,191,8,0,0,0,0,0,0,0,0,4.40022,R
0,184,8,4,0,0,0,0,0,0,0,4.4009,R
0,334,8,6,0,0,0,0,0,0,0,4.40116,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.40141,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.40192,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.40218,R
0,1E5,8,3,0,0,0,0,0,0,0,4.40244,R
0,199,8,0,0,0,0,0,0,0,FF,4.40474,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.405,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,4.40517,R
0,121,4,2,0,0,0,,,,,4.40534,R
0,1E9,8,5,0,0,0,0,0,0,0,4.40559,R
0,000001F5,8,0,0,0,0,0,FF,0,0,4.40585,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.40977,R
0,000000C9,8,A0,C7,EF,0,0,0,0,0,4.41003,R
0,191,8,0,0,0,0,0,0,0,0,4.41029,R
0,10,8,0,0,0,0,0,0,0,0,4.41046,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.41191,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.41216,R
0,1E5,8,3,0,0,0,0,0,0,0,4.41242,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.41686,R
0,199,8,0,0,0,0,0,0,0,FF,4.41771,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.41797,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.41976,R
0,000000C9,8,AF,C7,EF,0,0,0,0,0,4.42001,R
0,191,8,0,0,0,0,0,0,0,0,4.42027,R
0,000001A1,8,F7,B6,0,0,0,0,0,0,4.42053,R
0,000001C3,8,0,0,0,0,0,0,0,0,4.4207,R
0,184,8,4,0,0,0,0,0,0,0,4.42095,R
0,000002C3,8,E6,C7,EF,0,0,0,0,0,4.42121,R
0,334,8,6,0,0,0,0,0,0,0,4.42146,R
0,000001C7,8,7,0,0,0,0,0,0,0,4.42172,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.42198,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.42223,R
0,1E5,8,3,0,0,0,0,0,0,0,4.42249,R
0,000001F3,8,0,0,0,0,0,0,0,0,4.42274,R
0,1E9,8,5,0,0,0,0,0,0,0,4.42488,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.42974,R
0,000000C9,8,F5,C7,EF,0,0,0,0,0,4.43,R
0,121,4,2,0,0,0,,,,,4.43017,R
0,0000012A,8,0,0,0,0,0,0,0,0,4.43042,R
0,000000F9,8,0,0,0,0,0,0,FF,0,4.43068,R
0,130,4,CB,3D,0,0,,,,,4.43085,R
0,134,8,0,0,0,0,0,0,0,0,4.43111,R
0,191,8,0,0,0,0,0,0,0,0,4.43136,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,4.43162,R
0,199,8,0,0,0,0,0,0,0,FF,4.43188,R
0,000000C1,8,1,0,0,0,0,0,0,0,4.43205,R
0,000001F1,8,0,0,0,0,0,0,0,0,4.4323,R
0,000000C5,8,2,0,0,0,0,0,0,0,4.43256,R
0,000003C9,8,0,0,0,0,0,0,0,0,4.43281,R
0,1E5,8,3,0,0,0,0,0,0,0,4.43307,R
0,000001CD,8,8,0,0,0,0,0,0,0,4.43691,R
0,0000017D,8,0C,0,0,0,0,0,0,0,4.43887,R
0,000000F1,8,0,0,0,0,0,0,0,0,4.43973,R
0,000000C9,8,4,C8,EF,0,0,0,0,0,4.43998,R
0,191,8,0,0,0,0,0,0,0,0,4.44024,R
0,10,8,0,0,0,0,0,0,0,0,4.44049,R
0,0000017F,8,0D,0,0,0,0,0,0,0,4.44092,R
0,184,8,4,0,0,0,0,0,0,0,4.44118,R
0,000002F9,8,9,0,0,0,0,0,0,0,4.44143,R
