Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,382,8,2,0,0,0,1,0,0,0,0.92108,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.92125,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.92151,R
0,587,8,1,0,0,0,2,0,0,0,0.92177,R
0,316,8,2,0,0,0,1,0,0,0,0.9297,R
0,329,8,2,0,0,0,1,0,0,0,0.92996,R
0,382,8,2,0,0,0,1,0,0,0,0.93021,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.93047,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.93073,R
0,587,8,1,0,0,0,2,0,0,0,0.93098,R
0,370,8,2,0,0,0,1,0,0,0,0.93124,R
0,0000043F,8,2,0,0,0,1,0,0,0,0.93149,R
0,000004F1,8,2,0,0,0,1,0,0,0,0.93166,R
0,316,8,2,0,0,0,1,0,0,0,0.93986,R
0,329,8,2,0,0,0,1,0,0,0,0.94011,R
0,382,8,2,0,0,0,1,0,0,0,0.94037,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.94062,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.94088,R
0,587,8,1,0,0,0,2,0,0,0,0.94114,R
0,120,4,F0,55,0,0,0,0,,,0.94344,R
0,316,8,2,0,0,0,1,0,0,0,0.94907,R
0,329,8,2,0,0,0,1,0,0,0,0.94933,R
0,184,8,69,D0,F4,1,0,0,0,0,0.94958,R
0,000001C7,8,3D,CF,F4,1,0,0,0,0,0.94976,R
0,000001CD,8,A1,CF,F4,1,0,0,0,0,0.95001,R
0,1E9,8,5,D0,F4,1,0,0,0,0,0.95027,R
0,334,8,CD,D0,F4,1,0,0,0,0,0.95052,R
0,382,8,2,0,0,0,1,0,0,0,0.95078,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.95104,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.95129,R
0,587,8,1,0,0,0,2,0,0,0,0.95155,R
0,370,8,2,0,0,0,1,0,0,0,0.95172,R
0,0000043F,8,2,0,0,0,1,0,0,0,0.95197,R
0,000004F1,8,2,0,0,0,1,0,0,0,0.95223,R
0,000000A2,8,18,0,0,0,0,0,0,0,0.95931,R
0,000000B2,8,0,0,0,0,0,0,0,0,0.95957,R
0,000000C4,8,20,4E,0,0,0,0,0,0,0.95982,R
0,316,8,2,0,0,0,1,0,0,0,0.96017,R
0,329,8,2,0,0,0,1,0,0,0,0.96042,R
0,382,8,2,0,0,0,1,0,0,0,0.96068,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.96093,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.96119,R
0,587,8,1,0,0,0,2,0,0,0,0.96145,R
0,316,8,2,0,0,0,1,0,0,0,0.96938,R
0,329,8,2,0,0,0,1,0,0,0,0.96964,R
0,382,8,2,0,0,0,1,0,0,0,0.96989,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.97015,R
0,000004F2,8,2,0,0,0,1,0,0,0,0.97041,R
0,587,8,1,0,0,0,2,0,0,0,0.97058,R
0,370,8,2,0,0,0,1,0,0,0,0.97083,R
0,0000043F,8,2,0,0,0,1,0,0,0,0.97109,R
0,000004F1,8,2,0,0,0,1,0,0,0,0.97134,R
0,316,8,2,0,0,0,1,0,0,0,0.97954,R
0,329,8,2,0,0,0,1,0,0,0,0.97979,R
0,382,8,2,0,0,0,1,0,0,0,0.98005,R
0,000004B1,8,2,0,0,0,1,0,0,0,0.9803,R
