Chn,Identifier Flg,DLC,D0,...1,...2,...3,...4,...5,...6,..D7,Time,Dir
0,000000F9,8,0,0,0,0,0,0,FF,0,0.14507,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.14532,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.14558,R
0,000001F3,8,0,0,0,0,0,0,0,0,0.14839,R
0,000000C9,8,58,B3,D4,9,0,0,0,0,0.14976,R
0,00000191,8,0,0,0,0,0,0,0,0,0.15002,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.15121,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.15147,R
0,000001CD,8,8,0,0,0,0,0,0,0,0.15172,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.15198,R
0,00000184,8,4,0,0,0,0,0,0,0,0.15223,R
0,000001E9,8,5,0,0,0,0,0,0,0,0.15249,R
0,00000334,8,6,0,0,0,0,0,0,0,0.15266,R
0,000001C7,8,7,0,0,0,0,0,0,0,0.15292,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.15343,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.15778,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.15804,R
0,000000C9,8,67,B3,D4,9,0,0,0,0,0.15974,R
0,00000191,8,0,0,0,0,0,0,0,0,0.16,R
0,000002C3,8,99,B3,D4,9,0,0,0,0,0.16026,R
0,000003C1,8,FD,B3,D4,9,0,0,0,0,0.16051,R
0,000003D1,8,C5,B4,D4,9,0,0,0,0,0.16077,R
0,000003E9,8,61,B4,D4,9,0,0,0,0,0.16094,R
0,000000C1,8,1,0,0,0,0,0,0,0,0.16119,R
0,000000C5,8,2,0,0,0,0,0,0,0,0.16145,R
0,000001E5,8,3,0,0,0,0,0,0,0,0.16171,R
0,000000F1,8,0,0,0,0,0,0,0,0,0.16341,R
0,00000121,4,2,0,0,0,,,,,0.16358,R
0,00000130,4,10,27,0,0,,,,,0.16375,R
0,000001E1,8,0,0,0,0,0,0,0,0,0.16401,R
0,000001A1,8,40,B5,0,0,0,0,0,0,0.16546,R
0,000001C3,8,4,B4,D4,9,0,0,0,0,0.16563,R
0,000000C9,8,11,B4,D4,9,0,0,0,0,0.16973,R
0,00000191,8,0,0,0,0,0,0,0,0,0.16998,R
0,00000199,8,0,0,0,0,0,0,0,FF,0.17041,R
0,000000F9,8,0,0,0,0,0,0,FF,0,0.17067,R
0,0000019D,8,0,0,0,0,0,FF,FF,0,0.17092,R
0,000001F5,8,0,0,0,0,0,FF,0,0,0.17118,R
